id,trip_distance,trip_time_in_secs,tip_amount,fare_amount,tip_perc,counter,pickup_zipcode,dropoff_zipcode
10001|10128,3.982084691,1144.960912,1.800390879,16.14169381,11.26216074,307,10001,10128
10001|10280,3.819466667,942.12,1.489066667,14.81666667,10.25214845,150,10001,10280
10001|10301,15.6,1524,11.99,43,27.88372093,1,10001,10301
10001|10302,2.97,1260,3.2,15,21.33333333,1,10001,10302
10001|10304,17.4,3300,11.1,55.5,20,1,10001,10304
10001|10312,24.7,2859.5,16.37,68.75,23.88355438,2,10001,10312
10001|10451,8.693333333,2008.555556,2.311111111,26.66666667,7.961950791,9,10001,10451
10001|10452,9.96,1646.4,3.68,31.4,11.62903226,5,10001,10452
10001|10453,10.6,1184.5,0,30.75,0,2,10001,10453
10001|10454,7.213333333,2147.666667,3.23,25.16666667,12.8389821,6,10001,10454
10001|10455,9.043333333,1867.666667,3.5,30.66666667,10.86848635,3,10001,10455
10001|10456,10.65,1507.333333,0,32.33333333,0,3,10001,10456
10001|10457,11.3,2005,0,37,0,4,10001,10457
10001|10458,12.45125,1977.125,1.5125,38.75,4.117992767,8,10001,10458
10001|10459,7.756666667,2056.666667,3.25,35.66666667,8.333333333,3,10001,10459
10001|10460,12.80333333,2240.666667,0,40.66666667,0,3,10001,10460
10001|10461,14.8875,2372.25,5.325,45.875,11.59158785,4,10001,10461
10001|10462,12.99625,1768.375,1.05,38.875,2.5,8,10001,10462
10001|10463,11.4,1409.416667,4.009166667,33.5,12.1736465,12,10001,10463
10001|10466,16.07,1860,0,45.5,0,1,10001,10466
10001|10467,14.65,2042,0,43.66666667,0,3,10001,10467
10001|10468,11.39166667,1640.333333,0,34.33333333,0,6,10001,10468
10001|10469,15.7,2043.5,6.35,44.25,13.8690629,2,10001,10469
10001|10471,13.2,1354,0,36,0,1,10001,10471
10001|10472,11.16666667,1228.666667,2.466666667,32.16666667,6.851851852,3,10001,10472
10001|10473,10.72666667,1871.333333,0,34.5,0,3,10001,10473
10001|10475,17.07,2560,3.7,51.16666667,6.727272727,3,10001,10475
10001|11201,5.365714286,1556.045455,2.629220779,21.2987013,12.61091173,154,10001,11201
10001|11203,9.67,2464.4,1.58,34.2,4.103896104,5,10001,11203
10001|11204,12.83333333,2609.333333,7.466666667,42.5,17.29311212,3,10001,11204
10001|11205,6.020638298,1524.851064,3.359574468,22.31914894,15.5050624,47,10001,11205
10001|11206,5.974634146,1465.195122,2.948536585,22.01219512,13.52005574,41,10001,11206
10001|11207,15.992,3009.8,0,50.5,0,5,10001,11207
10001|11208,11.8,2848,8.4,41,20.48780488,1,10001,11208
10001|11209,12.06047619,1992.47619,5.858571429,37.35714286,15.5935246,21,10001,11209
10001|11210,13.35,2587,5.35,43.75,10.19047619,2,10001,11210
10001|11211,5.312189781,1376.408759,2.645255474,20.35766423,13.08261974,137,10001,11211
10001|11212,13.05,1865.5,0,39.25,0,2,10001,11212
10001|11213,7.901428571,1980.714286,2.25,28.5,8.048046243,7,10001,11213
10001|11214,14.618,2438,6.56,45.4,14.27679776,5,10001,11214
10001|11215,7.197654321,1749.395062,4.040864198,25.83950617,16.05490722,81,10001,11215
10001|11216,7.311428571,1624.071429,3.253571429,25.42857143,13.18680237,14,10001,11216
10001|11217,6.095901639,1569.557377,3.275901639,22.60655738,14.96906707,61,10001,11217
10001|11218,9.924705882,2227.352941,5.025294118,32.44117647,15.02174945,17,10001,11218
