Zip Code,Tip Percentage,count,Population Density (per sq. mile),Median household income,Gini Index Of Income Inequality,Average Commute to Work (in min),Male Rate,White Rate,Higher Education Rate,Unemployment Rate,Renter Occupied Rate,Public Transportation Rate
10017,20.292925465358728,3902946,50381.49,100652.0,0.5157,24.0,0.4630789261578523,0.7662595325190651,0.6690433380866762,0.042094958394517865,0.6643116673395236,0.4012351048099505
10026,18.872199058768512,299927,113954.1,43107.0,0.5473,34.0,0.4722610968815189,0.23334477568588105,0.26228512582186897,0.08282258501925475,0.7992180955040491,0.7362748600690723
10035,18.867393661167604,364560,23984.61,24533.0,0.575,34.0,0.4821727185857621,0.2110905398948877,0.15094959388437648,0.13018608907870652,0.9215559680413205,0.7607072354304352
10044,19.61337336989168,40238,51084.92,83066.0,0.4659,38.0,0.4832334359306658,0.5544305848047951,0.4266159079863924,0.06688259109311741,0.8889134764328391,0.7386594448205822
10305,24.68123359877527,3607,9879.686,70758.0,0.4316,39.0,0.4818835404466029,0.7737466076274818,0.2235871066038185,0.08203365483275189,0.340620165467142,0.2334737759697806
10314,23.665369235872692,4240,6363.721,77242.0,0.4088,40.0,0.4747238645217471,0.7748407351390989,0.21488152527613547,0.0661244019138756,0.2693404172605935,0.15743636249921822
10458,16.341075856824478,13124,74192.66,24618.0,0.5035,42.0,0.4725550701986401,0.2084184934343232,0.06763381824496721,0.15592503022974608,0.9572821666864068,0.5403661224880995
10467,15.343699184803553,12561,42376.04,36048.0,0.4694,42.0,0.4724466857038702,0.18663547805658506,0.1148611701804484,0.16005385618715026,0.8764225773077365,0.5147024725448451
11205,20.746750945741898,236989,45283.84,44688.0,0.5452,36.0,0.4827217338728431,0.47432677549881397,0.2335240221385052,0.120909894860961,0.7783842794759825,0.5805013321733457
11214,18.14673301993077,12962,38060.13,43398.0,0.4557,47.0,0.4873611044302275,0.5702294482659098,0.1645341286257155,0.09436890139659662,0.6542166694065428,0.5009474182851729
11223,17.679003221363033,11200,35967.79,41328.0,0.4897,43.0,0.4819585556121492,0.6645041953730263,0.1689810471007694,0.11382039850787007,0.6127911275415896,0.4351343307810936
11232,20.411091882690567,44651,22463.25,43595.0,0.4425,40.0,0.5594643352761588,0.4011587565917291,0.15275464890369134,0.11195358343772664,0.7708522212148685,0.5737387236886068
10009,19.96126693855317,1770196,101865.2,59929.0,0.5238,31.0,0.4591943957968476,0.5976755293743035,0.4377169240566789,0.07145720317468801,0.9213258921021478,0.5721628761773491
10018,20.107535531952827,2270639,21819.63,104635.0,0.4921,29.0,0.5198689645349666,0.5875231448511608,0.5378151260504201,0.05274062912036165,0.8945433983601923,0.5266961059815335
10027,18.676485611405198,563709,71852.31,37872.0,0.579,31.0,0.4494306657936343,0.2846191928709456,0.2810099493747704,0.07636775426427914,0.8599422622692677,0.6374498920752389
10036,20.184959012340787,3258766,52182.9,66599.0,0.5382,26.0,0.5815320767767594,0.6628480027667301,0.5505792841085941,0.10234406496573173,0.8967012654628181,0.4661050676572035
10306,23.139835264235106,1712,7480.454000000002,75807.0,0.4291,42.0,0.4807520303388072,0.8792887553218132,0.20825730743086115,0.0781010719754977,0.28135048231511256,0.1807935304523629
10459,14.956987813027807,4928,58725.94,24461.0,0.4889,42.0,0.4741438605998708,0.1321049669633366,0.05884069449944765,0.14781910623494782,0.9058563822880146,0.6181028074789868
10468,15.795348622288198,10879,66796.39,33776.0,0.4436,43.0,0.472960931191,0.13188159616830494,0.09647461780512936,0.17700499533402864,0.9063766891891892,0.6230351796407185
11206,20.42413865506334,253080,56833.41,28559.0,0.5056,37.0,0.4852744556884391,0.44651333946642136,0.1109966268015946,0.1411128456735058,0.8950695768877587,0.5911064214651793
11215,21.03673501999716,377704,31628.39,95654.0,0.4729,39.0,0.4852012599613883,0.7408369743507859,0.5109375680422696,0.06883887582577539,0.6192144889320658,0.660639644588817
11224,16.582299156519518,4303,27547.02,27481.0,0.5166,45.0,0.4435406136123193,0.5852356882567298,0.2132596685082873,0.1669773484720104,0.7192566449762876,0.4620429031899522
11233,18.127575045253803,27413,50893.44,34492.0,0.5133,43.0,0.4428490211227569,0.043717838452455575,0.1217510459336142,0.15155594013396148,0.7667432070417145,0.5480334034550902
10001,20.646075278513614,4994720,35349.6,81671.0,0.6121,25.0,0.4885732495675134,0.6347537102795229,0.5009104980424293,0.09099149351554874,0.7272314949201741,0.4819705835837419
10010,20.199963988963255,2736292,78507.05,97955.0,0.5316,27.0,0.4671340071731334,0.7114444082164982,0.5628627323117052,0.0813473640771691,0.7496875781054736,0.5690879926672777
10019,20.15784152108672,4993598,56459.61,84424.0,0.5531,25.0,0.4901286659373861,0.726181174141793,0.6017606917747564,0.06761930030701588,0.8058497011101623,0.4719990210874087
10028,20.032092945244802,2404816,140990.3,104638.0,0.5741,31.0,0.44415848289874704,0.8906648605937465,0.6496670053053392,0.056105149089383716,0.6809590623968307,0.6363503060962645
10037,16.910382669479205,74965,65825.32,37341.0,0.4722,36.0,0.40369453875812855,0.08396155838176901,0.2447488058928469,0.11756706638645073,0.9194559432288588,0.6677376171352075
10280,18.83698125322037,442360,62718.66,129574.0,0.4223,29.0,0.487392055267703,0.6960276338514679,0.6117443868739205,0.0547992417714975,0.7453460620525059,0.5134801762114537
10307,27.75849856913668,206,7557.2480000000005,86457.0,0.4263,45.0,0.4932901746577652,0.9381617101625194,0.20291321060084969,0.060700169395821575,0.2195526097763049,0.09305886355903367
